nombre_evento,url_evento,codigo_postal,direccion,horario,organizacion,fecha_inicio,fecha_fin,hora_fecha_inicio,hora_fecha_fin
25º aniversario de la revista La Fragua,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1ea220bed10d4910VgnVCM2000001f4a900aRCRD,28005,CALLE SAN JUSTO 5,,Biblioteca Pública Municipal Iván de Vargas (Centro),2025-02-24,2025-03-02,00:00:00.0,23:59:00.0
3CLONWS,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=fc8d040e7c784910VgnVCM1000001d4a900aRCRD,28012,RONDA ATOCHA 35,19:00,Teatro Circo Price,2025-03-21,2025-03-22,19:00:00.0,23:59:00.0
60 Premio Reina Sofía de Pintura y Escultura,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=34c5130393e15910VgnVCM2000001f4a900aRCRD,28009,PASEO COLOMBIA 1,,Centro Cultural Casa de Vacas (Retiro),2025-02-27,2025-03-23,00:00:00.0,23:59:00.0
7 pares de pies,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9d8ec08889415910VgnVCM2000001f4a900aRCRD,28037,CALLE SAN ROMAN DEL VALLE 8,12:00,Centro Cultural Antonio Machado (San Blas - Canillejas),2025-03-23,2025-03-23,12:00:00.0,23:59:00.0
A toda vela,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=59d5e7da8b822910VgnVCM1000001d4a900aRCRD,28045,PLAZA LEGAZPI 8,,Matadero Madrid,2024-10-01,2025-06-01,00:00:00.0,23:59:00.0
Academia de hadas y duendes,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=eca61387ac444910VgnVCM2000001f4a900aRCRD,28045,PLAZA LEGAZPI 8,11:30,Matadero Madrid,2025-03-16,2025-03-16,11:30:00.0,23:59:00.0
Acompañamiento digital a personas mayores,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=5b58d89ad2232910VgnVCM2000001f4a900aRCRD,,,,,2024-10-14,2025-06-30,00:00:00.0,23:59:00.0
Acompañar en la pérdida,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=197023e4c84d3910VgnVCM2000001f4a900aRCRD,28029,AVENIDA MONFORTE DE LEMOS 38,17:00,Biblioteca Pública Municipal José Saramago (Fuencarral-El Pardo),2025-01-14,2025-06-17,17:00:00.0,23:59:00.0
Activas en compañía: gimnasia de mantenimiento,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f93102b68bf54910VgnVCM2000001f4a900aRCRD,28022,PLAZA EURIPIDES 1,12:00,Espacio de Igualdad Lucía Sánchez Saornil. San Blas-Canillejas,2025-01-13,2025-03-31,12:00:00.0,23:59:00.0
Actividades en el centro juvenil 'Carabanchel Alto'. Febrero 2024,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8fdc0b8d46a5d810VgnVCM2000001f4a900aRCRD,28044,CALLE ALFONSO FERNANDEZ 23,,Centro Juvenil Carabanchel Alto,2025-02-01,2025-02-28,00:00:00.0,23:59:00.0
Actividades en el centro juvenil 'El Aleph' (Villa de Vallecas). Febrero 2024,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=63310b8d46a5d810VgnVCM2000001f4a900aRCRD,28031,CALLE ZAZUAR 1,,Centro Juvenil El Aleph (Villa de Vallecas),2025-02-01,2025-02-28,00:00:00.0,23:59:00.0
Actividades en el centro juvenil 'El Sitio de mi recreo' (Villa de Vallecas). Febrero  2025,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e7d00b8d46a5d810VgnVCM2000001f4a900aRCRD,28031,CALLE REAL DE ARGANDA 39,,Centro Juvenil El Sitio de mi Recreo (Villa de Vallecas),2025-02-01,2025-02-28,00:00:00.0,23:59:00.0
Actividades en el centro juvenil 'Hontalbilla' (Fuencarral - El Pardo). Febrero 2025,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6a400b8d46a5d810VgnVCM2000001f4a900aRCRD,28034,CALLE HONTALBILLA 10,,Centro Juvenil Hontalbilla (Fuencarral - El Pardo),2025-02-01,2025-02-28,00:00:00.0,23:59:00.0
Actividades en el centro juvenil 'Ouka Leele'. Febrero 2025.,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=51f73efea2652910VgnVCM1000001d4a900aRCRD,28045,CALLE BRONCE 16,,Centro Juvenil Ouka Leele,2025-02-01,2025-02-28,00:00:00.0,23:59:00.0
Actividades en el centro juvenil 'Pipo Velasco'. Febrero 2025,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1e8a4b7e6ee5d810VgnVCM2000001f4a900aRCRD,28026,CALLE AVENA 5,,Centro Juvenil Pipo Velasco (Usera),2025-02-01,2025-02-28,00:00:00.0,23:59:00.0
Actividades mensuales de los centros de mayores del distrito Hortaleza,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=315479485bdeb810VgnVCM1000001d4a900aRCRD,,,,,2024-02-01,2025-07-13,00:00:00.0,23:59:00.0
Agrupación de Música Moderna de la Escuela Municipal de Música Antonio Machado,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1760a8c219315910VgnVCM2000001f4a900aRCRD,28022,CALLE BOLTAÑA 27,,Centro Cultural Buero Vallejo (San Blas - Canillejas),2025-03-20,2025-03-20,00:00:00.0,23:59:00.0
Aina Alegre «R-A-U-X-A»,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4e182dd1dc0e1910VgnVCM1000001d4a900aRCRD,28015,CALLE CONDE DUQUE 9,20:00,Centro de Cultura Contemporánea Conde Duque,2025-03-29,2025-03-29,20:00:00.0,23:59:00.0
Aire de enero,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=55e92c84ecd15910VgnVCM2000001f4a900aRCRD,28022,AVENIDA SEPTIMA 11,19:00,Centro Cultural Ciudad Pegaso (San Blas - Canillejas),2025-03-22,2025-03-22,19:00:00.0,23:59:00.0
Alas para volar. Grupo terapéutico,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=05467990ce34c810VgnVCM1000001d4a900aRCRD,28016,CALLE ENRIQUE JARDIEL PONCELA 8,10:30,Espacio de Igualdad Nieves Torres. Chamartín,2025-02-11,2025-02-25,10:30:00.0,23:59:00.0
Alberto Cortés «Analphabet»,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=20b102a2fa0e1910VgnVCM1000001d4a900aRCRD,28015,CALLE CONDE DUQUE 9,20:00,Centro de Cultura Contemporánea Conde Duque,2025-02-27,2025-02-28,20:00:00.0,23:59:00.0
Alegría compartida,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3f3637a0a2af4910VgnVCM2000001f4a900aRCRD,28031,CALLE HONRUBIA 4,11:30,Espacio de Igualdad María Moliner. Villa de Vallecas,2025-02-04,2025-02-25,11:30:00.0,23:59:00.0
